,Positive,Neutral,Negative
60,,"Sign Petition: Prioritize the Safety and Health of ALL, Regardless of Immigration Status, in #Coronavirus Response --> https://ctt.ec/0nSf0+ ",
61,,The most accurate. #coronavirus pic.twitter.com/V1Mmm0IUur,
62,,Mitch McConnell #coronavirus https://twitter.com/Amy_Siskind/status/1238610672474357760 …,
63,,Mitch McConnell #coronavirus https://twitter.com/Amy_Siskind/status/1238608489213239297 …,
64,,Thought @realDonaldTrump said the question that @Yamiche asked was #nasty and not true? But ..... #CoronaOutbreak #coronavirus https://twitter.com/Rene_gadeCowboy/status/1238611424206716929 …,
65,,Kinda crazy that Coronavirus is the Voldemort of YouTube right now. Mention it and your video is demonetized,
66,,A small town takes a big hit after coronavirus is confirmed in its midst https://www.washingtonpost.com/national/a-small-town-takes-a-big-hit-after-coronavirus-is-confirmed-in-its-midst/2020/03/12/52b674bc-63da-11ea-845d-e35b0234b136_story.html …,
67,,Viking and Princess Cruises temporarily suspend operations amid coronavirus pandemic  https://twitter.com/i/events/1238094152132218881 …,
68,,Yep. The gravity of the situation didn’t hit home until I realized there were no Idaho Potatoes or onions to be found. Ish is getting real out here in the Coronavirus streets.,
69,,"$4 coronavirus survey :) quickie too,  maybe 7 minutes",
70,,"As simple as this photo is, I don't know if I've ever taken one that may look so unimportant on the surface, but contain so much meaning within ... 

The Greenville City Council meets tonight — everyone seated a minimum of 6 ft apart. 

#SocialDistancing #coronavirus #COVID19pic.twitter.com/ehpTiHd4Ut",
71,,Whoever contracts coronavirus isn’t MTH,
72,,So Coronavirus is in Liberia ,
73,,So Coronavirus is in Liberia ,
74,,"$4 coronavirus survey :) quickie too,  maybe 7 minutes",
75,,Yep. The gravity of the situation didn’t hit home until I realized there were no Idaho Potatoes or onions to be found. Ish is getting real out here in the Coronavirus streets.,
76,,"As simple as this photo is, I don't know if I've ever taken one that may look so unimportant on the surface, but contain so much meaning within ... 

The Greenville City Council meets tonight — everyone seated a minimum of 6 ft apart. 

#SocialDistancing #coronavirus #COVID19pic.twitter.com/ehpTiHd4Ut",
77,,Whoever contracts coronavirus isn’t MTH,
