,Positive,Neutral,Negative
27,,"I'm more worried about being quarantined for two weeks than getting #CoVID19... as a PhD student, I don't have room to spare for 2 weeks worth of supplies!",China reports 1st death from new type of coronavirus. ⁦@morgfair⁩ ⁦@ShiCooks⁩ ⁦@theresamax⁩ ⁦@jnicky63⁩https://apnews.com/c0e87e089a89fa5579e1c63acded7d46 …
28,,"#Thailand Confirms Traveler from #China Hospitalized With New Form of #Coronavirus, According to #UN Officials

https://time.com/5763805/thailand-chinese-person-hospitalized-sars-virus/ …",#Japan confirms first case of infection from #Wuhan #coronavirus; #Vietnam quarantines two touristshttps://www.straitstimes.com/asia/east-asia/japan-confirms-first-case-of-infection-with-new-china-coronavirus …
29,,Read the newest #ECDC update on #Wuhan #pneumonia associated with a novel #coronavirus  https://twitter.com/ECDC_Outbreaks/status/1217113716552093696 …,"#Coronavirus: #China reports 17 new cases of Sars-like mystery virus 

https://www.theguardian.com/world/2020/jan/19/coronavirus-china-reports-17-new-cases-of-sars-like-mystery-virus …"
30,,"Agreed, it's about time the community switches to Next Generation Coronavirus","The number of cases in an outbreak of a new strain of coronavirus in China is likely to have been grossly underestimated, according to a new study, which warns that human-to-human transmission of the mysterious virus may be possible. https://cnn.it/38dkhcS  #ENDEGO"
31,,"If the new coronavirus starts sidling toward Europe I'm going to live in hamster ball seclusion for about a year, because I remember 2003 vividly.","#China - #Coronavirus: more cases and second death reported in China

https://www.theguardian.com/world/2020/jan/17/corona-second-death-in-china-after-sars-like-outbreak …"
32,,"#China confirms up to 40 cases of new coronavirus although mode of transmission remains unclear

https://on.rt.com/a99q  #ENDEGOhttps://on.rt.com/a99q ","#ECDC risk assessment on the novel #coronavirus.

#nCoV2019 has been isolated and considered the causative agent of:
 the cluster of 41 #pneumonia cases in the area of #Wuhan, China
 three travel-related cases in #Thailand and #Japan.

Read the report: http://bit.ly/2NEftpg pic.twitter.com/drhRVRtgM5"
33,,"#China confirms up to 40 cases of new coronavirus although mode of transmission remains unclear

https://on.rt.com/a99q  #ENDEGO","#China reports second death in #coronavirus outbreak

https://beta.ctvnews.ca/national/world/2020/1/17/1_4771495.html …"
34,,Japan and Thailand Confirm New Cases of Chinese Coronavirus https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html … … #News #Bibleprophecy #Truth #Knowledge #Wisdom #Economist #Endtimes #Revelation #ENDEGOhttps://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html …,"I must say that I haven't been reading a lot about it as I'm not worrying.
Media knows that people are afraid of epidemics so they usually blows it up just to sell. However, I do think we should be careful and work to prevent spreading the coronavirus."
35,,Japan and Thailand Confirm New Cases of Chinese Coronavirus https://www.nytimes.com/2020/01/15/world/asia/coronavirus-japan-china.html … … #News #Bibleprophecy #Truth #Knowledge #Wisdom #Economist #Endtimes #Revelation #ENDEGO,"1. It is past midnight, but I've just finished reading all BioRxiv had to offer on the latest coronavirus outbreak. What struck me. 3 weeks *officially* into the outbreak, but we already have at least 15 full genomes sequenced. People openly share data and do all kind of analysis"
36,,Any of those “dishes” doesn’t look shall we say overcooked. Suspect it’s a trichinosis situation ... IF any of that is actually the origin. I think those who recently patented the coronavirus might have more to do with it than the rats n’ bats.,"If you’re scared or unsure about what the Corona Virus is I’d highly recommend watching this: 
https://youtu.be/aerq4byr7ps "
37,,Germany confirms first human coronavirus transmission in Europe https://www.theguardian.com/science/2020/jan/28/germany-confirms-first-human-coronavirus-transmission-in-europe?CMP=share_btn_tw …,Coronavirus Is No Small Threat to Travel Stocks - WSJ https://on.wsj.com/2tYtmHY  by @jonsindreupic.twitter.com/spiOCJCbTq
38,,"It's becoming obvious that China will take an economic hit from the coronavirus outbreak. Travel is part of business, cut travel and of course business will be affected. Question is, will it make the CCP be frank about the situation or will they supply amended numbers... https://twitter.com/VirginAtlantic/status/1223024482144727040 …",I dont give no fucks about no corona virus stfu
39,,China's Wuhan coronavirus: What we know so far | DW News https://youtu.be/QoSU1GPTeBg  via @YouTube,"“The coronavirus is a problem for the Chinese Communist party because the CCP has historically not handled epidemics and other large-scale disasters well,” said Maura Cunningham, a historian focusing on modern China. “ https://www.theguardian.com/science/2020/jan/24/coronavirus-shakes-citizens-faith-in-chinese-government …"
