Let there be #coronavirus 
Nigeria Reports Chloroquine Poisonings as Trump Keeps Pushing Drug Against Coronavirus https://slate.com/news-and-politics/2020/03/nigeria-chloroquine-poisonings-trump-pushing-drug-coronavirus.html … #SmartNews
Trump hotels fire staff due to coronavirus outbreak https://www.independent.co.uk/news/world/americas/coronavirus-trump-hotel-fire-staff-mar-a-lago-a9415871.html … #SmartNews
"Coronavirus Cases in N.Y.C. Near 2,000 as Testing Expands: Live Updates https://www.google.com/amp/s/www.nytimes.com/2020/03/18/nyregion/coronavirus-new-york-update.amp.html …"
"Coronavirus in New York: As testing grows, positive cases jumped by 1,000 in one day. Here's where. https://www.google.com/amp/s/amp.democratandchronicle.com/amp/2867461001 …"
"Coronavirus Cases in N.Y.C. Near 2,000 as Testing Expands: Live Updates https://www.google.com/amp/s/www.nytimes.com/2020/03/18/nyregion/coronavirus-new-york-update.amp.html …"
"Coronavirus in New York: As testing grows, positive cases jumped by 1,000 in one day. Here's where. https://www.google.com/amp/s/amp.democratandchronicle.com/amp/2867461001 …"
"Where coronavirus cases have been confirmed in San Diego County

https://fox5sandiego.com/news/local-news/where-coronavirus-cases-are-in-san-diego-county/ …"
Nigeria Reports Chloroquine Poisonings as Trump Keeps Pushing Drug Against Coronavirus https://slate.com/news-and-politics/2020/03/nigeria-chloroquine-poisonings-trump-pushing-drug-coronavirus.html … #SmartNews
Trump hotels fire staff due to coronavirus outbreak https://www.independent.co.uk/news/world/americas/coronavirus-trump-hotel-fire-staff-mar-a-lago-a9415871.html … #SmartNews
Trump lectures states and local governments to step up coronavirus testing — after he took forever to get them the kits – Raw Story https://www.rawstory.com/2020/03/trump-lectures-states-and-local-governments-to-step-up-testing-after-he-took-forever-to-get-them-the-kits/ …
