,Positive,Negative
55,"RT @anamikamber: Diya and Baati fame, @deepikasingh150 is in a lot of trouble. @ArvindKejriwal ji help her
#COVID19 https://t.co/nBtzzKOXaO",BREAKING NEWS! The inevitable has happened. baselworldofficial will be postponed to January 2021 on the back of the #Covid19 outbreak! https://www.instagram.com/p/B9IAY7xnePu/?igshid=1sf506wg14bqz
56,RT @_cricingif: Shahid Afridi tests positive for Corona virus. We wish upcoming days bring #Lala closer to a full and speedy recovery. 🙌…,Nobody’s talking about that meteor that fell prior the #COVID19 lol
57,RT @Ash_Stewart_: Monumental day in New Zealand today as rugby returns for the first time since #COVID19 suspended the Super Rugby tourname…,What a time to be alive.. #COVID19
58,Wish u speedy recovery lallaa 🥺💘,#COVID19 : Cyclists await test results after coronavirus hits UAE Tour 
59,RT @SaadSaleem99: Get Well Soon Lala 💪🏼💪🏼,Businesses in #Makkah #Madinah expecting 40% losses from Umrah pilgrimage ban #Infoblaze #MiddleEast #SaudiArabia #Business #PilgrimageBan #Coronavirus #COVID19 http://bit.ly/infoblaze-ksa-074 Via http://www.arabnews.com
60,"RT @priyadamini24: #Thread 🧵 

As India’s #COVID19 tally inches towards the 3 lakh mark, here is a thread of IMPORTANT CRUCIAL THINGS THE G…",Check out latest updates on #Corona #coronavirusec in this interactive map - courtesy James Hopkins #COVID2019 #COVID19 #COVIDー19 #CoronaVirusUpdates http://gisanddata.maps.arcgis.com/apps/opsdashbo…
61,RT @Usmanshinwari6: Get well soon Lala 🤲🏻,#COVID19 :British passenger of virus-hit Japan cruise ship dies 
62,RT @iamAhmadshahzad: With all that work you’ve done for the people of our country🇵🇰 during this pandemic I’m sure there’ll be thousands of…,"#COVID19 IS MERELY THE STRAW THAT BROKE THE BACK OF INDICES, WE CAN SAY IT'S A ""CATALYST"". WE URGED BEFORE THAT WE MUST PAY ATTENTION TO #MACROECONOMICS AND TO HIGHER FUNDAMENTAL RISKS. #gold #CBOT #NYSE #Fed #COMEX #NYSE"
63,Get Well Soon Lala ❤,My Question is; Who is going to tell those on Facebook about #COVID19 #coronavirusnigeria ??
64,RT @sarkodie: You guys got me on @JumiaGhana and I’m hooked 😊👌🏾 ... perfect way to shop without stepping out ... very essential in these #C…,#COVID19 : UAE ministry screens 28 people on suspicion of coronavirus 
65,"A creative way to remain close to the ones we love.
A Canadian lady has come up with an ingenious way to safely hug… https://t.co/jwvkzlB7vo","Race participants “have been confined in a small space""... https://lovindubai.com/coronavirus/hotel-in-abu-dhabi-under-lockdown-because-of-covid-19 #CoronaVirusUpdates #coronavirus #COVID19 #COVID2019"
66,prayers for a speedy recovery inshAllah,#Covid19: #Geneva auto show cancelled over #coronavirus fears https://bit.ly/3ae0Ce2
67,Get well soon Inshaallah,"SARS coronavirus (SARS-CoV) – virus identified in 2003. SARS-CoV is thought to be an animal virus from an as-yet-uncertain animal reservoir, perhaps bats, https://gulfnews.com/world/asia/philippines/no-cause-for-panic-on-mystery-disease-philippine-red-cross-chair-says-1.68841287 …"
68,Get well soon lala 💐♥ @SAfridiOfficial,"A man treated for pneumonia after returning from China tests positive for the new coronavirus identified as a possible cause of an outbreak in the Chinese city of Wuhan, according to an AP report.

https://english.alarabiya.net/en/News/2020/01/16/UAE-unaffected-as-Japanese-resident-confirmed-to-have-new-virus-from-China.html …"
69,Boom boom get well soon 😔,New coronavirus outbreak in Chinese city of Wuhan - https://wire.thearabianpost.com/new-coronavirus-outbreak-in-chinese-city-of-wuhan.aspx …pic.twitter.com/t5ZXsyLTJL
70,"RT @Tejasvi_Surya: The only CM in India today who can start his weekend with a breakfast at MTR - city’s most famous joint. 

Sri @BSYBJP’s…","China’s National Health Commission says the outbreak of a new strain of coronavirus is controllable, in the first statement from the body since the outbreak was reported in late December.

https://english.alarabiya.net/en/News/world/2020/01/19/China-s-national-health-commission-says-viral-outbreak-is-controllable-.html …"
71,"The best choice on the market for keeping you in touch with friends and family - at an affordable price.

+971 2 62… https://t.co/MgyJjdLSkd",Factbox: New coronavirus outbreak in Chinese city of Wuhan - https://wire.thearabianpost.com/factbox-new-coronavirus-outbreak-in-chinese-city-of-wuhan-2.aspx …pic.twitter.com/Do407GLeSs
72,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",Factbox: New coronavirus outbreak in Chinese city of Wuhan - https://wire.thearabianpost.com/factbox-new-coronavirus-outbreak-in-chinese-city-of-wuhan-2.aspx …pic.twitter.com/FqdJo8bLoF
73,"RT @UNICEF: ✋ ""Tadaaaaaa!"" 🤚

Two-year-old Natalie shows us how fun handwashing can be at her home in South Sudan as she protects herself f…",Factbox: New coronavirus outbreak in Chinese city of Wuhan - https://wire.thearabianpost.com/factbox-new-coronavirus-outbreak-in-chinese-city-of-wuhan.aspx …pic.twitter.com/BBDgGKAGvs
74,"Global connectivity has never been more threatened than this year, yet technology is more advanced than ever.
Doodl… https://t.co/rMtNhJ2wGu","Practise #FoodSafety:
Sick animals and animals that have died of diseases should not be eaten.

#coronavirus pic.twitter.com/6l94fxdios RT WHO"
75,"RT @MHafeez22: U r a Fighter by Nature &amp; M sure U wil fight &amp; wil Defeat this Virus soon,  Best wishes for U to Get well soon 🤲🏼","Practise #FoodSafety:
Use different chopping boards & knives for raw meat and cooked foods.
 Wash your hands in between handling raw and cooked food.

#coronavirus pic.twitter.com/8V2wcIqbNG RT WHO"
76,RT @vijai63: This is an interesting comparison,"Protect yourself & others from getting sick:
 Practice #FoodSafety 
 http://bit.ly/2I4vOBd 
#coronavirus pic.twitter.com/fVv9oawEHW RT WHO"
77,"RT @arabnews: #SPOTLIGHT: If countries have successfully banned #shisha use during the #coronavirus pandemic, they could ban it beyond #COV…","Protect yourself from getting sick:
 Avoiding unprotected contact with sick people  (including touching one’s eyes, nose or mouth) and with live farm  or wild animals 
#coronavirus pic.twitter.com/ptMQ5x1P2E RT WHO"
78,"RT @CTRavi_BJP: 30 COVID-19 patients discharged after ""Siddha Treatment"" in Chennai.

Traditional Bharatiya medicine comes to the rescue du…","Protect others from getting sick:

Avoid close contact when you are experiencing fever and cold or flu-like symptoms .
Avoid spitting in public.
Seek medical care  if you have a fever , cough and difficulty breathing.

#coronavirus pic.twitter.com/L6EBZtu18S RT W…"
79,RT @Dr_Turyasingura: This puts a big hole in the CoVid 19 patients our government has since most were contacts of asymptomatic patients. 😂😂…,CDC Telebriefing: Update on 2019 Novel Coronavirus (2019-nCoV) http://dlvr.it/RNH2L9 
80,We have been right in the middle of a fight against COVID-19 from day 1. As part of the same are these mobile clini… https://t.co/HYrC3dJXL7,CDC to screen at three US airports for signs of new virus from China #coronavirus #travel #Wuhan -https://www.cnn.com/2020/01/17/health/wuhan-virus-us-airport-screenings-china-bn/index.html …
81,A simple yet effective way of controlling the corona pandemic.," Throw the used tissue into a closed bin immediately after use
 Clean hands with soap and water or alcohol-based handrub after coughing or sneezing  and when caring for the sick

#coronavirus https://twitter.com/who/status/1218288568277270528 … RT WHO"
82,Waiting for good news,"Protect others from getting sick:
 Completely cover your mouth & nose with a tissue or a sleeve or flexed elbow when coughing or sneezing 
#coronavirus pic.twitter.com/tgdVUAMVxt RT WHO"
83,There are millions or may more than billions prayers are with you @SAfridiOfficial Get well soon Ameen 🤲 #Covid_19… https://t.co/lDMbckpQUZ,"How to handwash?
Use  and water for at least 40-60 seconds

How to handrub?
Use alcohol-based handrub  for 20-30 seconds 

#coronavirus pic.twitter.com/AINDxzcE5P RT WHO"
84,RT @betterpakistan: Prayers for your speedy recovery Ameen! @SAfridiOfficial,"Wash your  with  and running water when hands are visibly dirty.

If your  are not visibly dirty, wash them with  and water or use an alcohol-based hand cleanser.

#coronavirus pic.twitter.com/dBxWaLiPZd RT WHO"
85,"Need prayers for speedy recovery 🐐

@SAfridiOfficial,
PAKlSTAN wouldn't be a SHlTH0LE if PRAYERs W0RKED.

Your PM w… https://t.co/Zo7LGV2BiL","Q: Is there a treatment for a novel #coronavirus infection?
A: There is no specific treatment for disease caused by a novel coronavirus. However, many of the symptoms can be treated and therefore treatment is based on the patient’s clinical condition http://bit.ly/2tMEBmu  …"
86,People are making money by selling their Plasma’s to Patients in Pakistan. I can see Humans but no humanity in Paki… https://t.co/Pq0AQSEuK2,"WHOThailand WHOKobe WHOSEARO WHOWPRO Q: What are the symptoms of #coronavirus infection?

A: It depends on the virus, but common signs incl. respiratory symptoms, fever, cough, shortness of breath & breathing difficulties. In more severe cases, it can cause pneumonia, severe…"
87,Oh no.. Get well soon.,"Q: What is a novel #coronavirus?

A: A novel coronavirus, such as the 2019-nC0V, is a new strain of coronavirus that has not been previously identified in humans http://bit.ly/2tMEBmu  pic.twitter.com/UO5pUq8MUg RT WHO"
88,"RT @AnneKiguta: Congratulations for this timely and noble work @Wwangechi_leah , @EuMordue &amp; partners! #WithHer ✊🏾✊🏾✊🏾@CREAWKenya @EUinKenya","Q: What is a #coronavirus?

A: Coronaviruses are a large family of viruses that are known to cause illness ranging from the common cold to more severe diseases such as Middle East Respiratory Syndrome (MERS) and Severe Acute Respiratory Syndrome (SARS) http://bit.ly/2tMEBmu  …"
89,"RT @JKDubai1: 🎊🇵🇰Good News🇵🇰🎊

#NUST receives approval from
@DRA_Pakistan for N-CovKit – a PCR-based #Coronavirus Testing Kit.

Congratulat…","Thailand has found a second case of the new Chinese coronavirus, authorities say, as the country ramps up checks of Chinese visitors ahead of the Lunar New Year’s holidays.

https://english.alarabiya.net/en/News/world/2020/01/17/Thailand-finds-second-case-of-new-Chinese-virus-says-no-outbreak.html …"
90,"RT @jcagroup: Fortunately, the #UAE is a hotbed of #freelancers &amp; #influencers &amp; there are plenty of opportunities especially in free zones…",The latest on the coronavirus spreading in China and beyond - https://wire.thearabianpost.com/the-latest-on-the-coronavirus-spreading-in-china-and-beyond-2.aspx …pic.twitter.com/oK5jj4B6Yb
91,Get this guy in charge. Seems to have a solid handle on where things are at and common sense arguments.,Apple's iPhone back to growth as company braces for coronavirus impact - https://wire.thearabianpost.com/apples-iphone-back-to-growth-as-company-braces-for-coronavirus-impact-2.aspx …pic.twitter.com/4HraqMQmlo
92,RT @TheMahiraKhan: Hope you feel better real soon! InshAllah. 🤲🏼🤍,White House tells airlines it may suspend China-U.S. flights amid coronavirus outbreak: CNBC - https://wire.thearabianpost.com/white-house-tells-airlines-it-may-suspend-china-u-s-flights-amid-coronavirus-outbreak-cnbc.aspx …pic.twitter.com/406b1K5pX5
