Suppose they all got fined too? NAT
"RT @IrexitFreedom: Our ChairWoman Professor Dolores Cahill has more expertise,experience and qualifications around #Covid19 than the entire…"
RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…
"RT @antonioguterres: Saturday marks the 100-day countdown to #PeaceDay.

We are living through a difficult time, but we can turn the #COVID…"
RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…
"RT @fibromy: Parts of Beijing on lock down, I fear a second wave here. Take care my twitter friends, a lot are ignoring it but it hasn't go…"
yo @PSNIBelfast yous were doling put fines to #BlackLivesMatter protestors who were strictly socially distanced las… https://t.co/n18QDcPfFS
"RT @fibromy: Parts of Beijing on lock down, I fear a second wave here. Take care my twitter friends, a lot are ignoring it but it hasn't go…"
"RT @GregProops: Wear your mask for all of us.
#WearAMask https://t.co/Wn23trSOPa"
Because they really are ‘all in this together’  And when one falls they will all fall.
As Ireland re-opens post #COVID19 we're beginning to see the cost of cocooning to older people's physical and menta… https://t.co/GoQvl4zEMZ
RT @Age_Matters: Important data-driven first analysis of #COVID19 in Irish nursing homes @roinnslainte @HSELive @hpscireland @hrbireland #l…
RT @edelphysio: As Ireland re-opens post #COVID19 we're beginning to see the cost of cocooning to older people's physical and mental health…
"RT @BelTel: Coronavirus Northern Ireland updates: Crowd gathers at Belfast City Hall to 'protect war memorials' #coronavirus #COVID19
https…"
"RT @saoltagroup: 'An incredible journey for an incredible lady'.

Gail Lafferty from County Donegal was admitted to Sligo University Hospit…"
"RT @EpgntxEinstein: A block from where I live.

Young and mostly white.

This selfish behaviour will end up killing older people of colour…"
V sad to read #COVID19 spreading among most vulnerable populations  in Darfur. Limited #Health services to help dia… https://t.co/ZjAm91fmym
"RT @LMFMRADIO: NEWS: Two further #COVID19-related deaths have been reported in Northern Ireland.

An additional 3 people have also tested p…"
"This is how the restaurants have re-opened in the Italian district of Boston - the North End. 
Could it be replicat… https://t.co/o3lxhU9Hy0"
RT @WimvanderPoel1: SARSCoV2 in farmed mink in the Netherlands. How it started
RT @kenfoxe: A breakdown of #COVID19 cases by Dublin postal district. Dublin 15 and Dublin 24 account for around one in six cases. Up until…
RT @Easytiger42: Thanks to @ciaraphelan_ for highlighting about #masks. I've noticed that many older people have been using *medical masks…
RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…
RT @kenfoxe: A breakdown of #COVID19 cases by Dublin postal district. Dublin 15 and Dublin 24 account for around one in six cases. Up until…
"RT @paulreiddublin: #COVID19 Negativity rate in testing 99.2%. 27 people in ICU, down 88% on peak. 79 hospitalised confirmed cases, down 91…"
RT @Age_Matters: Important data-driven first analysis of #COVID19 in Irish nursing homes @roinnslainte @HSELive @hpscireland @hrbireland #l…
RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…
RT @HookedOnLSD: Anyone have hannah Montana calling out Leo on their 2020 bingo card https://t.co/UiEoCBESiY
I never did believe the stats from certain countries!
Yep.... agreed.
RT @eamofaller: Very much a case of right place/right time or wrong place/wrong time depending on perspective. Mine and @drcsadlier name’s…
"@tgmurta Hmm, as a matter of fact the deaths in the care homes are being covered up and swept under the carpet as i… https://t.co/G6s5FqljLz"
RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…
@whistleirl Lebanese protesters shut down roadways with fires as #currency collapses https://t.co/G7uFylv8xK… https://t.co/cHT4B6ZFzm
RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…
Seen on a pub near me. #dryjanuary #lockdown #COVID19 #coronavirus https://t.co/SrAs5vYifB
