,country,0,negative,positive,neutral,negative_n,positive_n,neutral_n
105,nigeria,106,16.0,58.0,32.0,0.1509433962264151,0.5471698113207547,0.3018867924528302
106,norway,13,4.0,8.0,1.0,0.3076923076923077,0.6153846153846154,0.07692307692307693
107,oman,4,2.0,2.0,0.0,0.5,0.5,0.0
108,pakistan,61,9.0,37.0,15.0,0.14754098360655737,0.6065573770491803,0.2459016393442623
109,panama,56,4.0,34.0,18.0,0.07142857142857142,0.6071428571428571,0.32142857142857145
110,papua new guinea,3,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666
111,paraguay,2,1.0,0.0,1.0,0.5,0.0,0.5
112,peru,10,2.0,6.0,2.0,0.2,0.6,0.2
113,philippines,413,61.0,218.0,134.0,0.14769975786924938,0.5278450363196125,0.324455205811138
114,poland,7,0.0,7.0,0.0,0.0,1.0,0.0
115,portugal,13,1.0,9.0,3.0,0.07692307692307693,0.6923076923076923,0.23076923076923078
116,puerto rico,2,0.0,2.0,0.0,0.0,1.0,0.0
117,qatar,4,2.0,2.0,0.0,0.5,0.5,0.0
118,romania,5,2.0,2.0,1.0,0.4,0.4,0.2
119,russia,11,2.0,4.0,5.0,0.18181818181818182,0.36363636363636365,0.45454545454545453
120,rwanda,1,0.0,0.0,1.0,0.0,0.0,1.0
121,saint helena,1,1.0,0.0,0.0,1.0,0.0,0.0
122,saint pierre and miquelon,2,0.0,1.0,1.0,0.0,0.5,0.5
123,sao tome and principe,99,14.0,55.0,30.0,0.1414141414141414,0.5555555555555556,0.30303030303030304
124,saudi arabia,7,2.0,3.0,2.0,0.2857142857142857,0.42857142857142855,0.2857142857142857
125,serbia,2,0.0,2.0,0.0,0.0,1.0,0.0
126,seychelles,11,2.0,6.0,3.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
127,singapore,124,19.0,61.0,44.0,0.1532258064516129,0.49193548387096775,0.3548387096774194
128,somalia,2,0.0,1.0,1.0,0.0,0.5,0.5
129,south africa,75,12.0,49.0,14.0,0.16,0.6533333333333333,0.18666666666666668
130,south korea,5,2.0,3.0,0.0,0.4,0.6,0.0
131,spain,84,13.0,45.0,26.0,0.15476190476190477,0.5357142857142857,0.30952380952380953
132,sri lanka,4,0.0,2.0,2.0,0.0,0.5,0.5
133,sudan,5,0.0,3.0,2.0,0.0,0.6,0.4
134,svalbard and jan mayen,2,1.0,1.0,0.0,0.5,0.5,0.0
135,sweden,31,3.0,20.0,8.0,0.0967741935483871,0.6451612903225806,0.25806451612903225
136,switzerland,33,6.0,18.0,9.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
137,syria,1,0.0,0.0,1.0,0.0,0.0,1.0
138,taiwan,2,1.0,1.0,0.0,0.5,0.5,0.0
139,tanzania,1,0.0,0.0,1.0,0.0,0.0,1.0
140,thailand,28,5.0,14.0,9.0,0.17857142857142858,0.5,0.32142857142857145
141,tonga,42,8.0,26.0,8.0,0.19047619047619047,0.6190476190476191,0.19047619047619047
142,trinidad and tobago,2,1.0,1.0,0.0,0.5,0.5,0.0
143,tunisia,9,1.0,8.0,0.0,0.1111111111111111,0.8888888888888888,0.0
144,turkey,202,44.0,111.0,47.0,0.21782178217821782,0.5495049504950495,0.23267326732673269
145,turkmenistan,1,0.0,1.0,0.0,0.0,1.0,0.0
146,tuvalu,2,1.0,1.0,0.0,0.5,0.5,0.0
147,uganda,11,2.0,7.0,2.0,0.18181818181818182,0.6363636363636364,0.18181818181818182
148,ukraine,6,0.0,4.0,2.0,0.0,0.6666666666666666,0.3333333333333333
149,united arab emirates,26,0.0,18.0,8.0,0.0,0.6923076923076923,0.3076923076923077
150,united kingdom,2273,350.0,1270.0,653.0,0.1539815222173339,0.5587329520457545,0.2872855257369116
151,uruguay,1,1.0,0.0,0.0,1.0,0.0,0.0
152,us,8223,1303.0,4607.0,2313.0,0.1584579837042442,0.5602578134500791,0.28128420284567673
153,uzbekistan,1,0.0,0.0,1.0,0.0,0.0,1.0
154,venezuela,27,4.0,17.0,6.0,0.14814814814814814,0.6296296296296297,0.2222222222222222
155,vietnam,1,1.0,0.0,0.0,1.0,0.0,0.0
156,western sahara,1,0.0,1.0,0.0,0.0,1.0,0.0
157,zimbabwe,6,1.0,4.0,1.0,0.16666666666666666,0.6666666666666666,0.16666666666666666
