,country,0,negative,positive,neutral,negative_n,positive_n,neutral_n
75,india,783,201.0,377.0,205.0,0.2567049808429119,0.48148148148148145,0.26181353767560667
76,indonesia,23,5.0,9.0,9.0,0.21739130434782608,0.391304347826087,0.391304347826087
77,iran,4,2.0,1.0,1.0,0.5,0.25,0.25
78,iraq,1,0.0,1.0,0.0,0.0,1.0,0.0
79,ireland,65,3.0,43.0,19.0,0.046153846153846156,0.6615384615384615,0.2923076923076923
80,isle of man,11,2.0,6.0,3.0,0.18181818181818182,0.5454545454545454,0.2727272727272727
81,israel,25,3.0,21.0,1.0,0.12,0.84,0.04
82,italy,58,12.0,27.0,19.0,0.20689655172413793,0.46551724137931033,0.3275862068965517
83,ivory coast,1,1.0,0.0,0.0,1.0,0.0,0.0
84,jamaica,36,12.0,9.0,15.0,0.3333333333333333,0.25,0.4166666666666667
85,japan,34,13.0,12.0,9.0,0.38235294117647056,0.35294117647058826,0.2647058823529412
86,jersey,169,58.0,80.0,31.0,0.3431952662721893,0.47337278106508873,0.1834319526627219
87,jordan,3,2.0,0.0,1.0,0.6666666666666666,0.0,0.3333333333333333
88,kenya,82,30.0,41.0,11.0,0.36585365853658536,0.5,0.13414634146341464
89,kiribati,1,0.0,0.0,1.0,0.0,0.0,1.0
90,kosovo,1,0.0,1.0,0.0,0.0,1.0,0.0
91,kuwait,2,1.0,1.0,0.0,0.5,0.5,0.0
92,latvia,4,0.0,3.0,1.0,0.0,0.75,0.25
93,lebanon,13,3.0,5.0,5.0,0.23076923076923078,0.38461538461538464,0.38461538461538464
94,lesotho,1,0.0,0.0,1.0,0.0,0.0,1.0
95,liberia,78,13.0,38.0,27.0,0.16666666666666666,0.48717948717948717,0.34615384615384615
96,libya,2,0.0,2.0,0.0,0.0,1.0,0.0
97,liechtenstein,4,3.0,1.0,0.0,0.75,0.25,0.0
98,lithuania,1,0.0,1.0,0.0,0.0,1.0,0.0
99,luxembourg,3,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666
100,macao,24,1.0,12.0,11.0,0.041666666666666664,0.5,0.4583333333333333
101,macedonia,5,1.0,3.0,1.0,0.2,0.6,0.2
102,malaysia,136,34.0,60.0,42.0,0.25,0.4411764705882353,0.3088235294117647
103,maldives,8,0.0,7.0,1.0,0.0,0.875,0.125
104,mali,351,99.0,177.0,75.0,0.28205128205128205,0.5042735042735043,0.21367521367521367
105,malta,3,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666
106,mauritius,2,0.0,0.0,2.0,0.0,0.0,1.0
107,mexico,43,21.0,12.0,10.0,0.4883720930232558,0.27906976744186046,0.23255813953488372
108,mongolia,16,6.0,10.0,0.0,0.375,0.625,0.0
109,montenegro,16,6.0,7.0,3.0,0.375,0.4375,0.1875
110,montserrat,12,1.0,8.0,3.0,0.08333333333333333,0.6666666666666666,0.25
111,morocco,16,4.0,9.0,3.0,0.25,0.5625,0.1875
112,myanmar,1,1.0,0.0,0.0,1.0,0.0,0.0
113,namibia,8,1.0,2.0,5.0,0.125,0.25,0.625
114,nepal,6,0.0,2.0,4.0,0.0,0.3333333333333333,0.6666666666666666
115,netherlands,24,6.0,12.0,6.0,0.25,0.5,0.25
116,new caledonia,38,9.0,19.0,10.0,0.23684210526315788,0.5,0.2631578947368421
117,new zealand,8,0.0,6.0,2.0,0.0,0.75,0.25
118,nicaragua,3,1.0,0.0,2.0,0.3333333333333333,0.0,0.6666666666666666
119,niger,6,2.0,2.0,2.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
120,nigeria,215,39.0,109.0,67.0,0.1813953488372093,0.5069767441860465,0.3116279069767442
121,norway,18,6.0,7.0,5.0,0.3333333333333333,0.3888888888888889,0.2777777777777778
122,oman,4,1.0,0.0,3.0,0.25,0.0,0.75
123,pakistan,430,172.0,126.0,132.0,0.4,0.2930232558139535,0.30697674418604654
124,palestinian territory,3,0.0,0.0,3.0,0.0,0.0,1.0
125,panama,63,12.0,40.0,11.0,0.19047619047619047,0.6349206349206349,0.1746031746031746
126,papua new guinea,10,4.0,2.0,4.0,0.4,0.2,0.4
127,paraguay,3,1.0,1.0,1.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
128,peru,19,5.0,8.0,6.0,0.2631578947368421,0.42105263157894735,0.3157894736842105
129,philippines,131,37.0,64.0,30.0,0.2824427480916031,0.48854961832061067,0.22900763358778625
130,poland,12,5.0,7.0,0.0,0.4166666666666667,0.5833333333333334,0.0
131,portugal,17,4.0,5.0,8.0,0.23529411764705882,0.29411764705882354,0.47058823529411764
132,puerto rico,11,3.0,3.0,5.0,0.2727272727272727,0.2727272727272727,0.45454545454545453
133,qatar,12,1.0,5.0,6.0,0.08333333333333333,0.4166666666666667,0.5
134,romania,2,0.0,1.0,1.0,0.0,0.5,0.5
135,russia,14,5.0,3.0,6.0,0.35714285714285715,0.21428571428571427,0.42857142857142855
136,rwanda,2,0.0,2.0,0.0,0.0,1.0,0.0
137,saint lucia,6,4.0,0.0,2.0,0.6666666666666666,0.0,0.3333333333333333
138,saint pierre and miquelon,2,2.0,0.0,0.0,1.0,0.0,0.0
139,samoa,1,0.0,1.0,0.0,0.0,1.0,0.0
140,sao tome and principe,73,19.0,36.0,18.0,0.2602739726027397,0.4931506849315068,0.2465753424657534
141,saudi arabia,14,5.0,4.0,5.0,0.35714285714285715,0.2857142857142857,0.35714285714285715
142,serbia,2,0.0,2.0,0.0,0.0,1.0,0.0
143,seychelles,27,6.0,16.0,5.0,0.2222222222222222,0.5925925925925926,0.18518518518518517
144,sierra leone,5,2.0,2.0,1.0,0.4,0.4,0.2
145,singapore,16,9.0,5.0,2.0,0.5625,0.3125,0.125
146,slovakia,4,1.0,3.0,0.0,0.25,0.75,0.0
147,solomon islands,1,0.0,1.0,0.0,0.0,1.0,0.0
148,somalia,7,2.0,4.0,1.0,0.2857142857142857,0.5714285714285714,0.14285714285714285
149,south africa,103,22.0,45.0,36.0,0.21359223300970873,0.4368932038834951,0.34951456310679613
150,south georgia and the south sandwich islands,1,1.0,0.0,0.0,1.0,0.0,0.0
151,south korea,12,2.0,7.0,3.0,0.16666666666666666,0.5833333333333334,0.25
152,south sudan,4,1.0,3.0,0.0,0.25,0.75,0.0
153,spain,51,8.0,25.0,18.0,0.1568627450980392,0.49019607843137253,0.35294117647058826
154,sri lanka,2,0.0,1.0,1.0,0.0,0.5,0.5
155,sudan,12,3.0,8.0,1.0,0.25,0.6666666666666666,0.08333333333333333
156,sweden,9,2.0,6.0,1.0,0.2222222222222222,0.6666666666666666,0.1111111111111111
157,switzerland,9,0.0,6.0,3.0,0.0,0.6666666666666666,0.3333333333333333
158,syria,1,0.0,0.0,1.0,0.0,0.0,1.0
159,taiwan,2,2.0,0.0,0.0,1.0,0.0,0.0
160,tajikistan,2,0.0,2.0,0.0,0.0,1.0,0.0
161,tanzania,2,2.0,0.0,0.0,1.0,0.0,0.0
162,thailand,7,1.0,5.0,1.0,0.14285714285714285,0.7142857142857143,0.14285714285714285
163,tonga,42,12.0,18.0,12.0,0.2857142857142857,0.42857142857142855,0.2857142857142857
164,trinidad and tobago,9,3.0,4.0,2.0,0.3333333333333333,0.4444444444444444,0.2222222222222222
165,tunisia,18,3.0,8.0,7.0,0.16666666666666666,0.4444444444444444,0.3888888888888889
166,turkey,183,43.0,82.0,58.0,0.23497267759562843,0.44808743169398907,0.31693989071038253
167,tuvalu,1,0.0,1.0,0.0,0.0,1.0,0.0
168,uganda,9,3.0,4.0,2.0,0.3333333333333333,0.4444444444444444,0.2222222222222222
169,ukraine,6,1.0,3.0,2.0,0.16666666666666666,0.5,0.3333333333333333
170,united arab emirates,77,22.0,17.0,38.0,0.2857142857142857,0.22077922077922077,0.4935064935064935
171,united kingdom,2547,521.0,1586.0,440.0,0.20455437769925403,0.6226933647428347,0.17275225755791127
172,uruguay,2,1.0,1.0,0.0,0.5,0.5,0.0
173,us,8135,1790.0,4463.0,1882.0,0.22003687768899816,0.5486170866625691,0.2313460356484327
174,vatican,1,0.0,1.0,0.0,0.0,1.0,0.0
175,venezuela,8,2.0,4.0,2.0,0.25,0.5,0.25
176,vietnam,2,0.0,2.0,0.0,0.0,1.0,0.0
177,yemen,2,0.0,2.0,0.0,0.0,1.0,0.0
178,zambia,5,1.0,2.0,2.0,0.2,0.4,0.4
179,zimbabwe,4,0.0,3.0,1.0,0.0,0.75,0.25
