,Positive,Neutral,Negative
31,,"@realDonaldTrump @FoxNews You humiliated a four star general,  you betrayed and left on the battle field allied for… https://t.co/MENR8M4C8u",Y si el coronavirus es completamente airborne como en Walking Dead and it’s just a matter of time 
32,,@realDonaldTrump decision to hold a rally in #Tulsa is mainly based on #fear. #Oklahoma has the lowest #coronavirus… https://t.co/EBSqu2DAw7,UAE announces 2 coronavirus deaths https://gulfnews.com/uae/government/uae-announces-2-coronavirus-deaths-1.1584735850926 …
33,,"“Sleepy Joe”?! Watch the Corona virus press conference you did with Pence, you were half asleep!! Sleepy Trump!! Biden has more energy than you!",If I see one more spring break ig post with a corny coronavirus caption
34,,"Fact check: from coronavirus to Kim Jong Un, Trump makes at least 14 false claims in Fox News town hall

https://www.cnn.com/2020/03/06/politics/fact-check-trump-fox-news-town-hall-scranton/index.html …",
35,,CORONAVIRUS jumping into each state,
36,,I previously talked about some medical professionals call the coronavirus “flu aids” back in January due its proteins and genetic traits. https://twitter.com/AoverK/status/1233912202257719297 …,
37,,Everyone’s posting “wash your hands” since coronavirus hit America.. what were y’all doing before?! Not washing your hands!? Lol i don’t get it,
38,,"""Tennessee man with coronavirus flew in and out of Boston Logan airport"" y aqui estoy yo... traveling from boston logan to nashville international q estrés",
39,,"Now, the governor going to do a press conference, that's means that there some cases of coronavirus,  here.",
40,,Live Coronavirus Map Used to Spread Malware — Krebs on Security https://krebsonsecurity.com/2020/03/live-coronavirus-map-used-to-spread-malware/ …,
41,,"I’m not super religous, but I was brought up Catholic & I’ve had many conversations w my God. If I didn’t know better, I’d say that the Coronavirus is God punishing Trump 4 his racism, inhumanity, mysoginy, sexual abuse of women, & putting helpless children in cages. Just sayin.",
42,,Fuck Coronavirus  pic.twitter.com/sE14Or6eql,
43,,Live in 5 min. -- Yaron Brook Show: Movie & TV Recommendations for Coronavirus Isolation https://youtu.be/xKMgFlxeFZ0  via @YouTube,
44,,Fuck Coronavirus  pic.twitter.com/sE14Or6eql,
45,,Live in 5 min. -- Yaron Brook Show: Movie & TV Recommendations for Coronavirus Isolation https://youtu.be/xKMgFlxeFZ0  via @YouTube,
