,Positive,Neutral,Negative
30,"RT @NightShiftMD: The evidence is in. Wear a mask. If enough people follow that advice, it will make a big difference in preventing the spr…","CNN: Bay Area officials have confirmed a case of coronavirus within the Sacramento community. Check to follow updates: http://pbs.twimg.com/media/BG48ENgCEAAIDl9.jpg …    
(Spread the News)",How can one avoid getting the Corona virus ?
31,RT @MileyCyrus: Italy🇮🇹 and the world united in solidarity with Black Lives Matter in the US. We must stay united to tackle #COVID19 and it…,Michigan launches effort to combat spreading coronavirus https://www.mlive.com/public-interest/2020/02/michigan-launches-effort-to-combat-spreading-coronavirus.html …,"#coronavirus All you need to know. How it spread, symptoms of #coronavirus  and also you have know his prevention.
#CoronavirusOutbreak #coronoavirus #CoronaOutbreak #coronaviruswuhan #ChinaWuHan #china #coronaviruscanada #coronavirusontario #coronavirususapic.twitter.com/0NKWvDMNdI"
32,It is a pleasure for me to meet again my friend @cadowm8 (BRA Health Director) today at Hamarweyne. I encouraged hi… https://t.co/SUvmjeZmCg,"The policies companies put forth give employees, users, and those watching license to behave in a certain way. Do not let coronavirus fears let you or your company support xenophobic behaviors. Real small businesses and families are suffering. https://sf.eater.com/2020/2/12/21135104/novel-coronavirus-chinatown-oakland-san-francisco …",You have corona virus shut up pic.twitter.com/5TDcCnjW1t
33,"This administration is exemplified by this morning’s MeetThePress. Instead of the administration having a reputable, solid rep on board to talk about the coronavirus, the VP, responsible for overseeing efforts to contain it 1/2",I started to see a lot of Kickstarter campaigns apologizing for coronavirus-related delays... so I wrote a story about. Turns out Kickstarter could be a pretty good barometer for things to come for CE and other industries with complex supply chains. https://www.protocol.com/kickstarter-coronavirus-delays …,"Stop the #Wuhan #nCoV #coronavirus

“Now is the time to stop this outbreak spiralling into a global health emergency.” 

https://www.nature.com/articles/d41586-020-00153-x?utm_source=Nature+Briefing&utm_campaign=abdc265fdd-briefing-dy-20200121_COPY_01&utm_medium=email&utm_term=0_c9dfd39373-abdc265fdd-43576073 …"
34,Coronavirus worth it?,"“While there are currently no cases of coronavirus in the city,”  cmon",Coronavirus is when you get the Jackass theme song stuck in your head
35,First coronavirus case in Berkeley was announced today. Stay safe y’all ,This coronavirus shit is scary  y’all b safe out there,Wish a motherfucker would give me Corona virus
36,Wonder what’s gonna happen when the U.S. ports start closing down. #coronavirus #COVID19,"2 more #COVID19 cases in France, bringing the total number of cases to 14.

The French are also ""encouraged"" to postpone trips to regions in Italy that are most affected by the #coronavirus outbreak.

https://lemonde.fr/planete/article/2020/02/25/deux-nouveaux-cas-de-coronavirus-en-france_6030825_3244.html …",the corona virus got us all fucked up smh
37,"This illustrates how South Korea is managing #covid19. Keep up the good work!

Living with the coronavirus epidemic in South Korea https://www.bostonglobe.com/2020/03/10/opinion/living-with-coronavirus-epidemic-south-korea/?event=event25 … via @BostonGlobe",When coronavirus is not alone: Team of complexity scientists present 'meme' model for multiple diseases https://phys.org/news/2020-02-coronavirus-team-complexity-scientists-meme.html … via @physorg_com,Coronavirus outbreak: San Francisco is activating emergency operations center; still no confirmed local cases. Read the latest: https://trib.al/R9yGaev 
38,I can't wait to see the mental gymnastics Trump supporters are about to perform with the administration's handling of the coronavirus #IDontTakeResponsibilityAtAll,People are asking if their shoes have the coronavirus on them and that they won’t buy anymore because of it ,Watch the news about what’s going on about the corona virus instead of TikTok videos
39,"Good news, @AmbJohnBolton!

Projections show that 1.7 million in U.S. might die in the coronavirus epidemic, after you and Trump fired the whole WH pandemic response chain of command, so maybe you can stop tweeting us into war:

Turns out, you've killed enough, #warcrimeswalrus.pic.twitter.com/NpULKzbpoc","My Thoughts on who we really need in office during a crisis like the Coronavirus: Another FDR, Not a Millard Fillmore. https://pamlwatts.wordpress.com/2020/02/29/we-need-plans-for-the-coronavirus/ …",Her health? Cough on her and give her corona virus https://twitter.com/justkisstee/status/1222624121097310208 …
40,my mom just said the cure for coronavirus is vaporub... I-,Word on the street is that Trump started the rumor connecting Corona beer with the coronavirus in order to get back at Mexico for not paying for his border wall.,so now they say dont worry bout coronavirus just worry bout the flu lol cmon man the media gotta make up they minds
41,Google employee in Bangalore tests positive for coronavirus http://dlvr.it/RRn6tM pic.twitter.com/wQPFkud7Cj,"5G Network Rollout Delayed In China, Flights Canceled Due To Coronavirus http://dlvr.it/RQWBKD ",can we please not make memes about every chinese person having the corona virus
42,"Let's see, your evidence from wiki documents the entire span of that specific flu season. The US has technically just started getting hit with coronavirus. That's like comparing apples and oranges...",Trump Wants to Take Away Heat From the Poor to Fund Coronavirus Response https://www.vanityfair.com/news/2020/02/donald-trump-coronavirus-funding …,"If a geriatric, one-legged parrot dying from coronavirus is nominated, I’ll vote for it."
43,"#KeepMelBrooksSafe !

Thank you @maxbrooksauthor.

#stayhomechallenge
#coronavirus
#DontBeASpreaderhttps://twitter.com/maxbrooksauthor/status/1239624352305303552 …",RT @TakeFlight_Ju: Locked in ‼️ https://t.co/TfVA5qr6uY,Yasmine got sick and thinks she has the corona virus
44,"With the Premier League paused due to the coronavirus, John Oliver spoke for every Liverpool fan last night 
https://bit.ly/2UcDMNl pic.twitter.com/nexcHyXW96",RT @AntibioticDoc: Spoiler: herd immunity is a long way away (vaccine please!!) but the alternative - quick natural herd immunity - many ma…,"#world: Coronavirus: more than 300 dead, including the first outside of China By AxadleTM http://bit.ly/31jEWcX http://bit.ly/31jEWcX "
45,,"#Somalia COVID 19 update:

Cases - 2,513
Deaths - 85
Recoveries - 532

Among Eastern Africa nations, Somalia is 4th… https://t.co/Yv2NoOINJf","This appears to be one the more accurate models of how this #coronavirus can explode globally.   Heed to this warning people.
I would have liked to see it contained and treated in this environment. https://twitter.com/GovOneStop/status/1228826735010992129 …"
46,,"RT @SkyNews: BREAKING: A smiling Queen looks on at a scaled back military parade at Windsor Castle, in her first outdoor event since the st…",Bet not see any anti-vaxxers asking about a corona virus vaccine. If you don’t understand the scientific method then pray you don’t get infected.
47,,"RT @dawnbazely: Data analysis from the #pandemic mitigation experiment.

Zhang et al (June 2020) compared #SARSCoV2 in China, Italy &amp; USA w…","So what if niggas making jokes on the Coronavirus, we ain’t forget about the jokes on Ebola. Keep that same energy"
48,,The latest Mashed Potatoes! https://t.co/csf1TPKDmp #covid19 #tofu,#Privacy: World Health Organization warns of ongoing Coronavirus phishing attacks https://gdpr.report/news/2020/02/18/privacy-world-health-organization-warns-of-ongoing-coronavirus-phishing-attacks/ …
49,,RT @BubbleGirl1028: @jsolomonReports The #FakeNews &amp; the  #CDC &amp; #NIH &amp; #DoNothingDemocrats will start the second wave of #Covid19 when it…,"#KarmaIsABitch Few years back Europeans turned away immigrants boats loaded with vulnerable folks. Thailand became the fifth country to deny entry to the Westerdam luxury liner amid coronavirus fears.  facing the same situation. Let's help each other, it is what human do. pic.twitter.com/yBmMm3m6GU"
50,,Analysis Sheds Light on Biology of Serious COVID-19 Cases and Outlines Treatment Options #COVID19 https://t.co/RJBtOFG4Kg via @clinicalomics,I hope the coronavirus is only actually dangerous to the elderly
51,,"RT @brianrahmer: “If we do not take an appreciation for the historical context and the political determinants, then we’re only merely going…","but they just raised $2b to hedge coronavirus.

once again elon is one step ahead of you.  he will always be one step ahead of you."
52,,"RT @AFPphoto: #Coronavirus #COVID19 #Guatemala
Women's national football team player Gloria Aguilar trains on her rooftop in Guatemala City…",Anybody down to bet that by 2021 nobody will remember the corona virus hyperbolic fear mongering? pic.twitter.com/dfsfMxd1We
53,,"@DexurNewMexico @LovelaceHealth Care to weigh in on this? https://t.co/tnYOKDohv2
#COVID19 @propublica","I hear you... I obviously don't have nearly as many but depending on what I tweet..gets me out back on Shadow Ban.
If I talk about Superficial crap, I get taken off.
Talk about CoronaVirus...forget about it"
54,,"RT @maniyarvarad: @narendramodi: Don't you think #COVID19 treatment cost must be capped in India?

This is nothing but outright exploitatio…","CoronaVirus Mortality is at 10%

That is CRAZY HIGH!!"
55,,"Our #CEO Eng. @AbdillahiBihi will participate in a virtual panel discussion on "" #COVID19: A Driver of Digital Tran… https://t.co/7meFSNQr1W","RT @Aaron_Dodd2: Morrison's own pet project, the now illegal #robodebt killed many more Australians that #covid19. He shut the whole countr…"
56,,"RT @SomaliREN: Our #CEO Eng. @AbdillahiBihi will participate in a virtual panel discussion on "" #COVID19: A Driver of Digital Transformatio…","RT @UN: In Somalia, the #COVID19 crisis is putting more women &amp; girls at risk of female genital mutilation (FGM).

@UNFPA &amp; @UNICEF are sup…"
57,,"RT @SomaliREN: Our #CEO Eng. @AbdillahiBihi will participate in a virtual panel discussion on "" #COVID19: A Driver of Digital Transformatio…","RT @FAO: Our food systems are failing us. And #COVID19 is making things worse.

We must invest in the future &amp; transform our food systems t…"
58,,"RT @SomaliREN: Our #CEO Eng. @AbdillahiBihi will participate in a virtual panel discussion on "" #COVID19: A Driver of Digital Transformatio…","RT @electroboyusa: Why do Republicans think we're EMERGING from the #COVID19 epidemic when these are the facts?

116,831 dead 
2,117,027 ca…"
59,,Find a doctor near you . https://t.co/nr15jawr8r #COVID19 #android #medical #app,"The economic hardship resulting from #COVID19 (income loss, unemployment, job instability, lack of social service)… https://t.co/CPUyVSwPjK"
60,,"13.6.2020: Update on #COVID19

&gt; New cases confirmed today: 66
&gt; Somaliland: 46
&gt; Puntland: 12
&gt; Benadir: 5
&gt; South… https://t.co/z3pN7Dsv34","RT @ahmedvision1: The economic hardship resulting from #COVID19 (income loss, unemployment, job instability, lack of social service)  is ca…"
61,,"13.6.2020: Update on #COVID19

&gt; New cases confirmed today: 66
&gt; Somaliland: 46
&gt; Puntland: 12
&gt; Benadir: 5
&gt; South… https://t.co/lFhpUtErEB","RT @UN: .@WFP is delivering critical humanitarian aid around the world, despite mobility restrictions put in place due to #COVID19. 

See h…"
62,,Why did my sister tell everyone at school that she has the coronavirus ,"@mdhugad @wasugeh @KhadarGulaid When politics knocks, this is how we deal with #COVID19"
63,,"Before last night's game, I was walking up to Marquese Chriss in the locker room to talk to him for a story that's running tomorrow and he sneezed. ""Coronavirus! Uh oh,"" he joked. https://twitter.com/wojespn/status/1234625139599429632 …","RT @antonioguterres: People with albinism continue to be the target of stigma, discrimination &amp; violence - including amid #COVID19.

The UN…"
64,,Who can give us a map of Coronavirus spread in the U.S. Anyone? @CDCgov @cnn @nytimes @MSNBC,"RT @MIJamjoom: #ShareVerified is a new UN initiative created to ""stop disinformation &amp; fake news from dividing communities in the midst of…"
65,,Sunday’s + coronavirus = shiiiiiiiit,"The unforeseen consequences of #COVID19, especially in emerging markets will continue to cascade into new crises su… https://t.co/v1M5CSLu0d"
66,,today in things i didn't expect to see per se but which are absolutely unsurprising: big pharma execs running twitter ads that use the coronavirus outbreak to make their brand look good pic.twitter.com/AAV1xECVfc,Health officials arraigned in #Somalia court over corruption involving donor funds intended to fight against… https://t.co/qdMkSUv6X6
67,,can't stop thinking about how many takes on Coronavirus/COVID-19 we'll be seeing this year for Halloween 2020.,One Crisis Too Many. #COVID19 in #Somalia
68,,Waiting for the #coronavirus shot... yet you never get the annual flu shot ... ooh ookaayy ,"RT @UNDP: Home to an estimated 270 mil people, Africa's borderlands, often lawless &amp; weak in healthcare, are most vulnerable to the spread…"
69,,Yes coronavirus is in Berkeley and it’s scary BUT that doesn’t mean y’all get to be xenophobic and racist. Do better y’all.,"RT @YourAnonNews: Yesterday, there were 140,927 new cases of #COVID19 and 4,603 additional deaths were reported in the past 24 hours.

This…"
70,,You're just as likely to know someone who dies of coronavirus as anyone else. But it may make you feel better that Trump thinks it's a political hack job and lie about it miraculously going away to quell market fears.,I mean obviously panic about corona virus are based in racism alone because otherwise anti vaxxing would be a crime and less people would gripe about washing their hands.
71,,"It's not the worst idea  \/

Stay safe out there, gang.

#COVID19 #coronavirus 

(first spotted on FB via @BarkBox, credit to r/Seattle https://ruv.me/2TW0kBI )pic.twitter.com/9bX3oYIcvP",Washing your damn hands should not only be a coronavirus tip #sickos
72,,"I must say, this Coronavirus is an introvert's dream.

#coronavirus #COVID19",Coronavirus live updates: stock markets plunge on global recession fears https://www.theguardian.com/world/live/2020/mar/09/coronavirus-live-updates-outbreak-italy-lockdown-quarantine-uk-usa-america-australia-recession-fears-update-latest-news?CMP=Share_iOSApp_Other …
