,Positive,Neutral,Negative
27,Beaumont patient being monitored for the coronavirus http://foxsanantonio.com/news/local/beaumont-patient-being-monitored-for-the-coronavirus …,"The fact that this is even a remote belief (covid19 having anything to do w/ Corona beer) is a frightful example of public rampant ignorance. Our education system has failed, or is incredibly lacking. Folks need to read something other than rag mags. Non-fiction books, perhaps.",Contact with live vector. SARS was civet cats from a market.  MERS was from camels. Human coronavirus causes common cold. Human to human transmission possible if viruses mutate.
28,"CNN: Kirby, TX first case of the Coronavirus at the County Health Services, Wednesday January 30 - CONFIRMED

http://pbs.twimg.com/media/BG48ENgCEAAIDl9.jpg …

According to officials the case is under control. In the article is a list of places the patient visited in the past week.","Observation: Kids naming their #hardcore #punk band #Coronavirus will sound campy and fun with psych and surf influenced sounds like Dead Kennedys, kids choosing #COVID19 will have an angrier snottier Regan Youth sound.","First Death From China Mystery Coronavirus Respitory Illness Recorded, If It Has Jumped Animal-To-Human Barrier As Feared, It Could Cause A Pandemic https://www.theguardian.com/world/2020/jan/11/china-mystery-illness-outbreak-causes-first-death?CMP=share_btn_tw …"
29,"The federal government is getting housing ready for as many as 1,000 people who may have to be quarantined after making their way back to the U.S. from areas affected by the coronavirus. One of the locations is Lackland Air Force Base in San Antonio. https://woai.iheart.com/content/2020-02-01-lackland-afb-to-provide-housing-for-coronavirus-area-evacuees/ …","Novel #coronavirus (2019-nCoV) outbreak in China, no clear evidence of human to human transmission so far. https://twitter.com/WHO/status/1216393218625064968 …",China reports 1st death from new type of coronavirus http://twib.in/l/LLK8bbyxLkXR 
30,"Cute, but also coronavirus ready ","""Japan Confirms First Case of New Chinese Coronavirus"" by BY SUI-LEE WEE via NYT https://ift.tt/36TRPfU ","US authorities have implemented screening measures at LAX, SFO, and JFK.  Too early to tell how this compares to previous outbreaks of coronavirus like SARS and MERS. Viruses can mutate rapidly but I suspect transmissibility will be somewhere between SARS and MERS."
31,"I dunno. Maybe toss this dude into a locked room with five infected Coronavirus patients?? Fair is fair. 

via ⁦@nytimes⁩https://www.nytimes.com/2020/02/15/world/asia/xi-china-coronavirus.html?referringSource=articleShare …",Im Gucci the coronavirus won’t effect me I only drink Modelo ,China Reports 17 New Cases In Viral Coronavirus Pneumonia Outbreak Increasing Concerns Virus Has Crossed Animal-To-Human Barrier Which Could Cause Pandemic https://apnews.com/a478dde9f8fbc1c47d1ef6a5ede6fe9f …
32,"Although air travel isn’t off to a great start this year, largely due to airlines cancelling flights to China over coronavirus fears, 2020 is expected to be strong in terms of #travel demand. See the world’s busiest airports: http://ow.ly/pudu50yjs1o pic.twitter.com/IL7Lg9XMrg",I can’t get the coronavirus I only drink modelo,Wuhan Coronavirus Outbreak Forces Chinese to Rethink Travel Plans http://dlvr.it/RNdZNx pic.twitter.com/dZuwSyqLgJ
33,It will always be like this .. If I had spoken clearly from the beginning the international community could have found some effective treatment .. #coronavirus #COVID2019,Coronavirus by Lebouche ,"Video doesn't give the full context of an event.  EMS is following local infectious disease protocols for every call whether it is a drunk passed out, a traffic accident victim, or syncopal episode. Whether it's coronavirus related gets sorted out at the ER."
34,Respirators vs surgical masks: Which one will actually protect you from coronavirus? http://foxsanantonio.com/news/local/respirators-vs-surgical-masks-which-one-will-actually-protect-you-from-coronavirus …,Psshh basic ass people getting that coronavirus. We all know da dosequivirus is where it’s at,How will airline stocks be impacted by the #coronavirus hampering travel demand? Here’s how airlines recovered after the SARS outbreak in 2002 and 2003: http://ow.ly/quFd50y6YD1 pic.twitter.com/cFY8Wdw11j
35,Methodist Hospital Texsan is treating the evacuee who was in quarantine at Lackland Air Force Base and tested positive for the coronavirus. The individual was privately escorted through a secluded entrance at hospital. The person is stable with mild symptoms. #Kens5Eyewitness,Can I put “ surviving coronavirus “ on my resume ??,When Chinese come through Mexico illegally :) that coronavirus thooo!
36,Coronavirus threatens timely arrival of Fiesta medals https://trib.al/TAt3f81 ,What Actually Happens If You Get Coronavirus? https://www.youtube.com/watch?v=OTYfke545vI …,i can’t be infected with the CORONAvirus because i’m straight edge https://twitter.com/ABC/status/1220467582450401281 …
37,Everyone wants to protect against the coronavirus. Not certain if it is enough though.,"The Wuhan Coronavirus:  What is it, how is it spread, what are the symptoms,and  whatever else you should know... sounds a lot like the flu to me!

CHECK IT OUT! and be in the know! https://www.cnn.com/2020/01/20/health/what-is-coronavirus-explained/index.html …","I disagree, it could just be taking advantage of the chaos around coronavirus to put out a particular narrative"
38,"#coronavirus KSAT TV reporting 2 more positive evacuees from Diamond Princess. Authorities won't answer questions where they are being treated. Also, secrecy where Methodist Texsan Wuhan evacuee was transferred to. Meanwhile State Department is ultimate medical authority.",Someone pls explain to San Antonio that the coronavirus is not the same thing as the modelovirus,Coronavirus: Shocking Spread of a Viral Pandemic https://youtu.be/aXlm2fdQSoo  via @YouTube
39,"@GregAbbott_TX What are your plans for containing #covid19 #coronavirus and how are you helping hospitals, treatment centers & medical personnel deal with what is coming to our neighborhoods?","Health officials: ⁦@Baylor⁩ University student being tested for possible case of #coronavirus
https://www.ksat.com/news/local/2020/01/24/health-officials-baylor-university-student-being-tested-for-possible-case-of-coronavirus/ …",@ibxtoycat  Are you concerned about Corona virus during your travels this year?
40,"Six months until a trial for a vaccine for #Coronavirus --- yep, we'll be in a real life episode of The Walking Dead by then. Thank you old dude, thank you very much. FOR NOTHING!",A competent POTUS would have done that as soon as even 1 case of coronavirus was confirmed in the US. Emphasis on competent. https://twitter.com/ABC/status/1221496723832496129 …,"China Coronavirus Outbreak Rises to 440, With 9 Dead as First US Case Confirmed

https://www.theepochtimes.com/outbreak-from-new-virus-rises-to-440-in-china-with-9-dead_3211886.html …

For the latest US and political news download The Epoch Times app now!https://ept.ms/2mCEjel "
41,"GNZ48 members sending support to all fronline workers battling the Wuhan coronavirus
https://youtu.be/Ju8PPB5WCaY  vía @YouTube","scp-049 >w> (although i want to draw a slime scp and lewd coronavirus too) 
#scp #scp049 #scpfoundation #plaguedoctorpic.twitter.com/oIuUsQ5L65",@KatRamsland US airline stocks fall on coronavirus fears - CNN https://www.cnn.com/2020/01/21/investing/coronavirus-airline-stocks/index.html …
42,"RT @Antalia___: Due to #COVID19 aka #Coronavirus My team and I will be sending the first 200 people to  Like &amp; Retweet this $1,500-$4,000 t…",American Dies From Coronavirus in Wuhan https://www.weather.com/health/cold-flu/news/2020-02-08-american-dies-from-coronavirus-in-wuhan-china …pic.twitter.com/3INKKVRE6E,BREAKING NEWS | #Alemania confirma paciente con #coronavirus https://www.dw.com/es/confirman-primer-caso-de-coronavirus-en-alemania/a-52168981 …
43,RT @ASPENWEB: Now available in Spanish! ASPEN Report on Nutrition Support Practice Processes with #COVID19: The First Response. https://t.c…,WHO Director-General Tweets: We are mobilizing the UN http://disq.us/t/3lzjvwp  #coronavirus #2019nCoV #kungflu,I’m sorry you caught the coronavirus /:
44,"RT @sanchezcastejon: Spain is coleader in initiatives such as the ACT-Accelerator to achieve equitable access to vaccines, treatments and d…",The coronavirus is a population control stunt. They are spreading it on purpose. #wakeup #modern #day #plague,Baylor University student being testing for possible case of deadly strain of coronavirus http://foxsanantonio.com/news/local/baylor-university-testing-for-possible-case-of-deadly-strain-of-coronavirus …
45,"RT @MileyCyrus: Spain, you united in solidarity with Black Lives Matter in the US. We must keep standing together to tackle #COVID19 and it…","MSM Suppresses Coronavirus: ""UNCANNY Similarity to HIV?!?"" https://youtu.be/w0ahdrYFe9Q  via @YouTube","#CoronaVirus 41deads, 5% of mortality rate. Scary
https://cnnespanol.cnn.com/2020/01/24/minuto-a-minuto-lo-ultimo-sobre-el-coronavirus-de-wuhan/?fbclid=IwAR0eqzTeaL8vTn1kYiV-0sheteHC1eSnL2oP5AP2E6hblkyikYwPFVoCamE#521356 …"
46,RT @UN: Thank you to all those who have joined the Verified initiative -- aimed at spreading factual content to counter misinformation on #…,i dont speak coronavirus,#BREAKING: Baylor University student being testing for possible case of deadly strain of coronavirus. #FoxSanAntoniohttps://cbsaustin.com/news/local/baylor-university-testing-for-possible-case-of-deadly-strain-of-coronavirus …
47,"RT @maibennett: I’ve been tracking #COVID19 data in Chile for a while now, and some interesting patterns arose that I thought would be usef…","U.S. announces more coronavirus cases, details quarantine plans for... https://reut.rs/2RU6Mth  #coronavirus #2019nCoV #kungflu","Coronavirus test results negative for Texas A&M University student!

https://www.ksat.com/news/local/2020/01/26/coronavirus-test-results-negative-for-texas-am-university-student/ …"
48,"RT @UnivHealthSys: In yesterday’s briefing Dawn Emerick, @SAMetroHealth  Director, said that SA is now seeing a second wave of #COVID19.…",Are You Prepared To Shelter-In-Place Today? Imagine Turning On The News To Learn Coronavirus Had Arrived In Your City! Getting Ready For The Worst Case Scenario http://allnewspipeline.com/Shelter_In_Place_Coronavirus.php#.XjivuoZ5-W0.twitter … #coronavirus #2019nCoV #kungflu,BREAKING: The university says the student suspected of having the coronavirus tested negative. http://bit.ly/2O0UJbb 
49,"RT @Aligarciaherrer: #covid19 #Beijing: Financial markets globally are going to love this 😱😬
https://t.co/o90N7fugai",View From China: Coronavirus is Biowar! (Kevin Barrett Interviews Jeff Brown) https://www.veteranstoday.com/2020/02/19/jeff-brown-biowar/ … via @veteranstoday,What happend? Is because of the Corona Virus or something?
50,"RT @AIANational: In order to ensure a proper transition into post a #COVID19 world, #architects, public health experts, and engineers are g…","#coronavirus Rep. Chip Roy sent a letter yesterday to Sectys. Azar + Esper asking 11 questions including why JBSA was chosen as a quarantine site; the reasoning on sending  Diamond Princess evacuees ""carrying the virus"" here + details of the testing/monitoring process. Good!",can’t be worse then them ppl at our base who got the corona virus 
51,"RT @WSSCCouncil: It's time to scale up household sanitation, MHH, sanitation &amp; hygiene in school/health care facilities, and support innova…",Epeople are going to invade us all and take over the coronavirus,"Businesses in Houston’s Chinatown are being impacted by coronavirus rumors, @ksatnews reports.https://www.ksat.com/news/local/2020/02/08/very-challenging-chinatown-businesses-are-losing-customers-due-to-coronavirus-rumors-owners-say/ …"
52,Chile en los top five 😤,#coronavirus Now we're hearing that Diamond Princess passengers will be barred from the USA until ok for 14 days. Finally the CDC is understanding what real quarantine means. But they flew many of the highest risk people right into San Antonio.,JUST IN: This is the first known American death from the coronavirus outbreak so far. http://bit.ly/31DomVA 
53,"RT @docspitsfire06: U Houston Athletics.... What were you thinking! 6 student-athletes have tested positive for COVID-19. 

This #COVID19 i…",Bexar County Judge Nelson Wolff asks for quarantined people to be tested for coronavirus at JBSA-Lackland rather than local hospitals http://www.kens5.com/article/news/bexar-county-judge-nelson-wolff-asks-for-quarantined-people-to-be-tested-for-coronavirus-at-jbsa-lackland-rather-than-local-hospitals/273-f5d64975-3367-4b90-8212-56df33b15dea … via @KENS5,"I should never have started tweeting about corona virus..., https://twitter.com/saddamscribe/status/1226284652111056896 …"
54,RT @TorontoDementia: A new #research study led by scientists at @Sunnybrook and @Baycrest's @rotmanresearch aims to find out how #COVID19 i…,Let me hear your “yeeee” then we’ll talk coronavirus https://twitter.com/DamianCasiano1/status/1228016100488753153 …,http://SEC.gov  | Look Out for Coronavirus-Related Investment Scams - Investor Alert https://www.sec.gov/oiea/investor-alerts-and-bulletins/ia_coronavirus#.XkCamQQYNhk.twitter …
55,RT @MileyCyrus: All across Ireland 🇮🇪 citizens joined in solidarity with Black Lives Matter in the US. We must stay united with the world t…,China vows to house all coronavirus patients. Treatment isn’t guaranteed - Inkstone https://www.inkstonenews.com/health/patients-complain-grim-conditions-wuhans-quarantine-centers/article/3050291 …,"With More Than One Million Chinese Living in Africa and no Strict Controls at Airports, the Dark Continent is Where the Coronavirus Outbreak Will Totally Explode Out-Of-Control as Health Workers Warn They Are Definitely not Ready to Face a New Epidemic https://strangesounds.org/2020/02/africa-coronavirus-outbreak-health-not-prepared.html …"
